Id,Table Type,Surface Material,Structural Material,Street / Avenue,Neighbourhood Id,Neighbourhood Name,Ward,Latitude,Longitude,Location,Geometry Point
4162,Square Picnic Table,Wood,Aggregate,122 AVENUE NW,1250,WESTWOOD,Ward O-day'min,53.576212409435065,-113.50011662506598,"(53.576212409435065, -113.50011662506598)",POINT (-113.50011662506598 53.576212409435065)
7851,Round Picnic Table,Metal,Metal,113 AVENUE NW,2330,HIGHLANDS,Ward Métis,53.56781588783489,-113.43409996260009,"(53.56781588783489, -113.43409996260009)",POINT (-113.43409996260009 53.56781588783489)
3971,Square Picnic Table,Wood,Aggregate,134 AVENUE NW,3390,ROSSLYN,Ward Anirniq,53.59417902921162,-113.51185875762812,"(53.59417902921162, -113.51185875762812)",POINT (-113.51185875762812 53.59417902921162)
20775,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,Ward Métis,53.553430332121096,-113.38847587266864,"(53.553430332121096, -113.38847587266864)",POINT (-113.38847587266864 53.553430332121096)
36672,Square Picnic Table,Wood,Aggregate,BLACKMUD CREEK DRIVE SW,5453,BLACKMUD CREEK,Ward Ipiihkoohkanipiaohtsi,53.42007155749385,-113.5130595391455,"(53.42007155749385, -113.5130595391455)",POINT (-113.5130595391455 53.42007155749385)
3193,Square Picnic Table,Wood,Metal,106 AVENUE NW,6061,CAPILANO,Ward Métis,53.55066224890976,-113.4234660793512,"(53.55066224890976, -113.4234660793512)",POINT (-113.4234660793512 53.55066224890976)
4847,Square Picnic Table,Wood,Aggregate,114 STREET NW,5220,GREENFIELD,Ward papastew,53.473637263293355,-113.52623174580869,"(53.473637263293355, -113.52623174580869)",POINT (-113.52623174580869 53.473637263293355)
34500,Square Picnic Table,Wood,Aggregate,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.52449962210751,-113.54496716363809,"(53.52449962210751, -113.54496716363809)",POINT (-113.54496716363809 53.52449962210751)
502,Square Picnic Table,Wood,Metal,JASPER AVENUE NW,1190,RIVER VALLEY KINNAIRD,Ward Métis,53.55507545171645,-113.4679614084644,"(53.55507545171645, -113.4679614084644)",POINT (-113.4679614084644 53.55507545171645)
4868,Square Picnic Table,Wood,Aggregate,76 AVENUE NW,4070,CALLINGWOOD NORTH,Ward sipiwiyiniwak,53.50724771831651,-113.6219639575625,"(53.50724771831651, -113.6219639575625)",POINT (-113.6219639575625 53.50724771831651)
25865,Square Picnic Table,Wood,Aggregate,GROAT ROAD NW,3381,RIVER VALLEY GLENORA,Ward Nakota Isga,53.53932022490569,-113.5418260400834,"(53.53932022490569, -113.5418260400834)",POINT (-113.5418260400834 53.53932022490569)
2099,Square Picnic Table,Wood,Aggregate,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,Ward O-day'min,53.534518936728254,-113.52305099149737,"(53.534518936728254, -113.52305099149737)",POINT (-113.52305099149737 53.534518936728254)
14495,Square Picnic Table,Concrete,Aggregate,96 AVENUE NW,4180,GLENWOOD,Ward Nakota Isga,53.53390781219476,-113.60705264964868,"(53.53390781219476, -113.60705264964868)",POINT (-113.60705264964868 53.53390781219476)
2099,Square Picnic Table,Wood,Metal,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,Ward O-day'min,53.534370671929786,-113.5240132501273,"(53.534370671929786, -113.5240132501273)",POINT (-113.5240132501273 53.534370671929786)
8130,Square Picnic Table,Wood,Metal,113 STREET NW,1170,PRINCE RUPERT,Ward O-day'min,53.56172509406509,-113.514538482128,"(53.56172509406509, -113.514538482128)",POINT (-113.514538482128 53.56172509406509)
10338,Square Picnic Table,Concrete,Aggregate,60A AVENUE NW,5320,PLEASANTVIEW,Ward papastew,53.49523301904577,-113.503254144688,"(53.49523301904577, -113.503254144688)",POINT (-113.503254144688 53.49523301904577)
4316,Square Picnic Table,Wood,Metal,102 AVENUE NW,1150,OLIVER,Ward O-day'min,53.54365452674556,-113.5316836234755,"(53.54365452674556, -113.5316836234755)",POINT (-113.5316836234755 53.54365452674556)
3292,Square Picnic Table,Wood,Metal,130 AVENUE NW,2020,BALWIN,Ward tastawiyiniwak,53.58935044462538,-113.45893394232357,"(53.58935044462538, -113.45893394232357)",POINT (-113.45893394232357 53.58935044462538)
6268,Square Picnic Table,Metal,Metal,MILLBOURNE ROAD EAST NW,6400,LEE RIDGE,Ward Karhiio,53.4713481995355,-113.44604440628325,"(53.4713481995355, -113.44604440628325)",POINT (-113.44604440628325 53.4713481995355)
1033,Square Picnic Table,Unknown,Unknown,102 AVENUE NW,1090,DOWNTOWN,Ward O-day'min,53.543891970772606,-113.48993112056979,"(53.543891970772606, -113.48993112056979)",POINT (-113.48993112056979 53.543891970772606)
1033,Square Picnic Table,Unknown,Unknown,102 AVENUE NW,1090,DOWNTOWN,Ward O-day'min,53.54392014102251,-113.48992763128966,"(53.54392014102251, -113.48992763128966)",POINT (-113.48992763128966 53.54392014102251)
86853,Square Picnic Table,Composite,Metal,16 AVENUE NW,6444,LAUREL,Ward Sspomitapi,53.44211006764736,-113.38269169344386,"(53.44211006764736, -113.38269169344386)",POINT (-113.38269169344386 53.44211006764736)
20249,Square Picnic Table,Wood,Metal,93 AVENUE NW,6710,STRATHEARN,Ward Métis,53.529873158396285,-113.46200981290603,"(53.529873158396285, -113.46200981290603)",POINT (-113.46200981290603 53.529873158396285)
23770,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,Ward sipiwiyiniwak,53.51057375654315,-113.54776473691517,"(53.51057375654315, -113.54776473691517)",POINT (-113.54776473691517 53.51057375654315)
